"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SZC","Cushing Renaissance Fund (The)","15.41","$93.3M","2012","n/a","n/a","http://www.nasdaq.com/symbol/szc",
"CUBI","Customers Bancorp, Inc","24.93","$669.91M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cubi",
"CUBI^C","Customers Bancorp, Inc","25.65","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cubi^c",
"CUBS","Customers Bancorp, Inc","26.9","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cubs",
"CSI","Cutwater Select Income Fund","18.9186","$202.59M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/csi",
"CVT","CVENT, INC.","34.27","$1.43B","1987","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cvt",
"CVI","CVR Energy Inc.","43.46","$3.77B","2007","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvi",
"UAN","CVR Partners, LP","10.4","$760.48M","2011","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/uan",
"CVRR","CVR Refining, LP","19.77","$2.92B","2013","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvrr",
"CVS","CVS Health Corporation","101.97","$113.64B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/cvs",
"CELP","Cypress Energy Partners, L.P.","11.5","$136.08M","2014","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/celp",
"CYS","CYS Investments, Inc.","7.63","$1.2B","2009","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cys",
"CYS^A","CYS Investments, Inc.","22.3","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cys^a",
"CYS^B","CYS Investments, Inc.","21.53","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cys^b",
"CYT","Cytec Industries Inc.","73.96","$5.28B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cyt",
"DHI","D.R. Horton, Inc.","31.07","$11.4B","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/dhi",
"DAN","Dana Holding Corporation","16.9","$2.71B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dan",
"DHR","Danaher Corporation","88.03","$60.17B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dhr",
"DAC","Danaos Corporation","6.3","$691.6M","2006","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dac",
"DQ","DAQO New Energy Corp.","18.37","$164.29M","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/dq",
"DRI","Darden Restaurants, Inc.","68.47","$8.74B","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dri",
"DAR","Darling Ingredients Inc.","11.69","$1.93B","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/dar",
"DVA","DaVita healthCare Partners Inc.","73.36","$15.81B","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/dva",
"DPM","DCP Midstream Partners, LP","27.6","$3.17B","2005","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/dpm",
"DCT","DCT Industrial Trust Inc","34.79","$3.07B","2006","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dct",
"DDR","DDR Corp.","15.92","$5.76B","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ddr",
"DDR^J","DDR Corp.","25.32","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ddr^j",
"DDR^K","DDR Corp.","24.71","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ddr^k",
"DF","Dean Foods Company","17.3","$1.63B","n/a","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/df",
"DECK","Deckers Outdoor Corporation","60.64","$1.98B","1993","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/deck",
"DE","Deere & Company","78.21","$25.67B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/de",
"DEX","Delaware Enhanced Global Dividend","9.39","$148.96M","2007","n/a","n/a","http://www.nasdaq.com/symbol/dex",
"DDF","Delaware Investments Dividend & Income Fund, Inc.","8.57","$76.85M","1993","n/a","n/a","http://www.nasdaq.com/symbol/ddf",
"DKL","Delek Logistics Partners, L.P.","32.6","$790.55M","2012","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/dkl",
"DK","Delek US Holdings, Inc.","28.57","$1.81B","2006","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/dk",
"DLPH","Delphi Automotive plc","78.63","$22.36B","2011","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dlph",
"DAL","Delta Air Lines, Inc.","46.96","$37.35B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/dal",
"DEL","Deltic Timber Corporation","61.1","$771.29M","n/a","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/del",
"DLX","Deluxe Corporation","56.98","$2.85B","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/dlx",
"DMD","Demand Media Inc.","4.32","$86.42M","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/dmd",
"DWRE","DEMANDWARE, INC.","53.42","$2.01B","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/dwre",
"DNR","Denbury Resources Inc.","3.2","$1.14B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dnr",
"DKT","Deutsch Bk Contingent Cap Tr V","28.18","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dkt",
"DB","Deutsche Bank AG","28.2","$38.88B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/db",
"DTK","Deutsche Bank AG","27.12","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dtk",
"DXB","Deutsche Bank AG","26.15","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dxb",
"DVN","Devon Energy Corporation","42.92","$17.64B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dvn",
"DV","DeVry Education Group Inc.","27.57","$1.75B","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/dv",
"DHX","DHI Group, Inc.","7.71","$418.32M","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/dhx",
"DHT","DHT Holdings, Inc.","8.34","$774.37M","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dht",
"DEO","Diageo plc","110.38","$76.01B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/deo",
"DO","Diamond Offshore Drilling, Inc.","18.62","$2.55B","1995","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/do",
"DRII","Diamond Resorts International, Inc.","24.74","$1.81B","2013","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/drii",
"DRH","Diamondrock Hospitality Company","11.53","$2.31B","2005","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/drh",
"DSX","Diana Shipping inc.","6.84","$564.61M","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsx",
"DSX^B","Diana Shipping inc.","20.7","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dsx^b",
"DSXN","Diana Shipping inc.","21.6","n/a","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsxn",
"DKS","Dick&#39;s Sporting Goods Inc","52.28","$6.2B","2002","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/dks",
"DBD","Diebold, Incorporated","31.7","$2.06B","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/dbd",
"DLR","Digital Realty Trust, Inc.","65.75","$8.93B","2004","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dlr",
"DLR^E","Digital Realty Trust, Inc.","25.5899","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^e",
"DLR^F","Digital Realty Trust, Inc.","25.47","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^f",
"DLR^G","Digital Realty Trust, Inc.","23.54","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^g",
"DLR^H","Digital Realty Trust, Inc.","26.81","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^h",
"DLR^I","Digital Realty Trust, Inc.","24.86","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^i",
"DGI","DigitalGlobe, Inc","20.9","$1.48B","2009","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/dgi",
"DDS","Dillard&#39;s, Inc.","91.94","$3.56B","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/dds",
"DDT","Dillard&#39;s, Inc.","26.54","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/ddt",
"DIN","DineEquity, Inc","91.36","$1.72B","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/din",
"DPLO","Diplomat Pharmacy, Inc.","27.72","$1.76B","2014","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/dplo",
"DFS","Discover Financial Services","54.55","$23.75B","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/dfs",
"DFS^B","Discover Financial Services","25.94","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dfs^b",
"DRA","Diversified Real Asset Income Fund","16.35","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dra",
"DNI","Dividend and Income Fund","11.15","$96M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dni",
"DLB","Dolby Laboratories","34.03","$3.49B","2005","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/dlb",
"DG","Dollar General Corporation","71.15","$20.97B","2009","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/dg",
"DDC","Dominion Diamond Corporation","10.89","$928.33M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ddc",
"DM","Dominion Midstream Partners, LP","28.09","$1.94B","2014","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/dm",
"DOM","Dominion Resources Black Warrior Trust","1.48","$11.62M","1994","Energy","Coal Mining","http://www.nasdaq.com/symbol/dom",
"D","Dominion Resources, Inc.","70.32","$41.79B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/d",
"DCUA","Dominion Resources, Inc.","54.94","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dcua",
"DCUB","Dominion Resources, Inc.","55.78","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dcub",
"DCUC","Dominion Resources, Inc.","49.6","$29.48B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dcuc",
"DPZ","Domino&#39;s Pizza Inc","108.35","$5.95B","2004","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dpz",
"UFS","Domtar Corporation","37.77","$2.46B","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/ufs",
"DCI","Donaldson Company, Inc.","29.17","$3.97B","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/dci",
"LPG","Dorian LPG Ltd.","11.3","$656.05M","2014","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/lpg",
"DSL","DoubleLine Income Solutions Fund","17.47","n/a","2013","n/a","n/a","http://www.nasdaq.com/symbol/dsl",
"DBL","DoubleLine Opportunistic Credit Fund","24.94","$367.07M","2012","n/a","n/a","http://www.nasdaq.com/symbol/dbl",
"PLOW","Douglas Dynamics, Inc.","20.97","$468.92M","2010","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/plow",
"DEI","Douglas Emmett, Inc.","29.52","$4.32B","2006","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dei",
"DOV","Dover Corporation","60.26","$9.43B","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dov",
"DDE","Dover Downs Gaming & Entertainment Inc","1","$32.86M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/dde",
"DVD","Dover Motorsports, Inc.","2.2699","$83.38M","1996","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/dvd",
"DOW","Dow Chemical Company (The)","46.31","$53.63B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dow",
"DOW.WD","Dow Chemical Company (The)","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dow.wd",
"DPS","Dr Pepper Snapple Group, Inc","82.57","$15.76B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/dps",
"RDY","Dr. Reddy&#39;s Laboratories Ltd","65.45","$11.15B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rdy",
"DRD","DRDGOLD Limited","1.56","$66.26M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/drd",
"DW","Drew Industries Incorporated","55.46","$1.34B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dw",
"DHF","Dreyfus High Yield Strategies Fund","3.07","$222.87M","1998","n/a","n/a","http://www.nasdaq.com/symbol/dhf",
"DMB","Dreyfus Municipal Bond Infrastructure Fund, Inc.","11.86","$218.01M","2013","n/a","n/a","http://www.nasdaq.com/symbol/dmb",
"DSM","Dreyfus Strategic Municipal Bond Fund, Inc.","7.83","$484.28M","1989","n/a","n/a","http://www.nasdaq.com/symbol/dsm",
"LEO","Dreyfus Strategic Municipals, Inc.","8.24","$509.64M","1987","n/a","n/a","http://www.nasdaq.com/symbol/leo",
"DRQ","Dril-Quip, Inc.","63.99","$2.48B","1997","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/drq",
"DST","DST Systems, Inc.","108.56","$3.89B","1995","Technology","EDP Services","http://www.nasdaq.com/symbol/dst",
"DSW","DSW Inc.","25.24","$2.24B","2005","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/dsw",
"DTE","DTE Energy Company","81.12","$14.56B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dte",
"DTQ","DTE Energy Company","23.9","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dtq",
"DTZ","DTE Energy Company","25.87","n/a","2011","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dtz",
"DCO","Ducommun Incorporated","20.74","$229.85M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/dco",
"DPG","Duff & Phelps Global Utility Income Fund Inc.","15.89","$602.7M","2011","n/a","n/a","http://www.nasdaq.com/symbol/dpg",
"DSE","Duff & Phelps Select Energy MLP Fund Inc.","8.34","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/dse",
"DNP","Duff & Phelps Utilities Income, Inc.","9.08","$2.49B","1987","n/a","n/a","http://www.nasdaq.com/symbol/dnp",
"DTF","Duff & Phelps Utilities Tax-Free Income, Inc.","14.65","$124.8M","1991","n/a","n/a","http://www.nasdaq.com/symbol/dtf",
"DUC","Duff & Phelps Utility & Corporate Bond Trust, Inc.","9.55","$262.57M","1993","n/a","n/a","http://www.nasdaq.com/symbol/duc",
"DUK","Duke Energy Corporation","73.08","$50.3B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/duk",
"DUKH","Duke Energy Corporation","25.18","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/dukh",
"DRE","Duke Realty Corporation","19.94","$6.88B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dre",
"DNB","Dun & Bradstreet Corporation (The)","108.88","$3.93B","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/dnb",
"DFT","Dupont Fabros Technology, Inc.","27.14","$1.77B","2007","Finance","Real Estate","http://www.nasdaq.com/symbol/dft",
"DFT^A","Dupont Fabros Technology, Inc.","25.06","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dft^a",
"DFT^B","Dupont Fabros Technology, Inc.","25.21","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dft^b",
"DHG","DWS High Income Opportunities Fund, Inc.","13.31","$202.06M","2006","n/a","n/a","http://www.nasdaq.com/symbol/dhg",
"DY","Dycom Industries, Inc.","74.65","$2.48B","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/dy",
"DLNG","Dynagas LNG Partners LP","14.02","$497.57M","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/dlng",
"DLNG^A","Dynagas LNG Partners LP","18.14","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlng^a",
"DYN","Dynegy Inc.","23.03","$2.95B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dyn",
"DYN.WS","Dynegy Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dyn.ws",
"DYN^A","Dynegy Inc.","83.67","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dyn^a",
"DX","Dynex Capital, Inc.","6.55","$350.27M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dx",
"DX^A","Dynex Capital, Inc.","24.19","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dx^a",
"DX^B","Dynex Capital, Inc.","22.9799","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dx^b",
"DD","E.I. du Pont de Nemours and Company","51.28","$46.4B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dd",
"DD^A","E.I. du Pont de Nemours and Company","78.72","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dd^a",
"DD^B","E.I. du Pont de Nemours and Company","95.9101","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dd^b",
"SSP","E.W. Scripps Company (The)","18.37","$1.55B","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/ssp",
"EGIF","Eagle Growth and Income Opportunities Fund","17","n/a","2015","n/a","n/a","http://www.nasdaq.com/symbol/egif",
"EXP","Eagle Materials Inc","72.68","$3.66B","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/exp",
"ECC           ","Eagle Point Credit Company Inc.","18.39","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/ecc           ",
"ECCA","Eagle Point Credit Company Inc.","25.6899","n/a","2015","n/a","n/a","http://www.nasdaq.com/symbol/ecca",
"DEA","Easterly Government Properties, Inc.","16","$386.69M","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dea",
"EGP","EastGroup Properties, Inc.","56.28","$1.82B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/egp",
"EMN","Eastman Chemical Company","68.41","$10.17B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/emn",
"KODK","Eastman Kodak Company","15.86","$664.86M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/kodk",
"KODK.WS","Eastman Kodak Company","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kodk.ws",
"KODK.WS.A","Eastman Kodak Company","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kodk.ws.a",
"ETN","Eaton Corporation, PLC","52.76","$24.67B","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/etn",
"ETV","Eaton Vance Corporation","14.38","$4.34B","2005","n/a","n/a","http://www.nasdaq.com/symbol/etv",
"ETW","Eaton Vance Corporation","11.35","$1.21B","2005","n/a","n/a","http://www.nasdaq.com/symbol/etw",
"EV","Eaton Vance Corporation","34.23","$3.99B","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/ev",
"EOI","Eaton Vance Enhance Equity Income Fund","12.19","$477.52M","2004","n/a","n/a","http://www.nasdaq.com/symbol/eoi",
"EOS","Eaton Vance Enhanced Equity Income Fund II","12.96","$619.02M","2005","n/a","n/a","http://www.nasdaq.com/symbol/eos",
"EFT","Eaton Vance Floating Rate Income Trust","13.22","$546.95M","2004","n/a","n/a","http://www.nasdaq.com/symbol/eft",
"EFF","Eaton vance Floating-Rate Income Plus Fund","14.6","$111.05M","2013","n/a","n/a","http://www.nasdaq.com/symbol/eff",
"ETX           ","Eaton Vance Municipal Income 2028 Term Trust","17.35","$191.4M","2013","n/a","n/a","http://www.nasdaq.com/symbol/etx           ",
"EOT","Eaton Vance Municipal Income Trust","20.79","$318.68M","2009","n/a","n/a","http://www.nasdaq.com/symbol/eot",
"EVN","Eaton Vance Municipal Income Trust","12.84","$300.52M","1999","n/a","n/a","http://www.nasdaq.com/symbol/evn",
"ETJ","Eaton Vance Risk-Managed Diversified Equity Income Fund","10.06","$669.31M","2007","n/a","n/a","http://www.nasdaq.com/symbol/etj",
"EFR","Eaton Vance Senior Floating-Rate Fund","13.05","$486.01M","2003","n/a","n/a","http://www.nasdaq.com/symbol/efr",
"EVF","Eaton Vance Senior Income Trust","5.93","$224.55M","1998","n/a","n/a","http://www.nasdaq.com/symbol/evf",
"EVG","Eaton Vance Short Diversified Income Fund","13.1","$247.41M","2005","n/a","n/a","http://www.nasdaq.com/symbol/evg",
"EVT","Eaton Vance Tax Advantaged Dividend Income Fund","18.89","$1.38B","2003","n/a","n/a","http://www.nasdaq.com/symbol/evt",
"ETO","Eaton Vance Tax-Advantage Global Dividend Opp","21.41","$310.86M","2004","n/a","n/a","http://www.nasdaq.com/symbol/eto",
"EXD","Eaton Vance Tax-Advantaged Bond","12.48","$131.75M","2010","n/a","n/a","http://www.nasdaq.com/symbol/exd",
"ETG","Eaton Vance Tax-Advantaged Global Dividend Income Fund","15.35","$1.17B","2004","n/a","n/a","http://www.nasdaq.com/symbol/etg",
"ETB","Eaton Vance Tax-Managed Buy-Write Income Fund","15.3","$377.21M","2005","n/a","n/a","http://www.nasdaq.com/symbol/etb",
"ETY","Eaton Vance Tax-Managed Diversified Equity Income Fund","11.07","$1.65B","2006","n/a","n/a","http://www.nasdaq.com/symbol/ety",
"EXG","Eaton Vance Tax-Managed Global Diversified Equity Income Fund","8.78","$2.65B","2007","n/a","n/a","http://www.nasdaq.com/symbol/exg",
"ECT","ECA Marcellus Trust I","1.85","$32.57M","2010","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ect",
"ECR","Eclipse Resources Corporation","2.77","$616.79M","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ecr",
"ECL","Ecolab Inc.","115.74","$34.15B","n/a","Basic Industries","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/ecl",
"DANG","E-Commerce China Dangdang Inc.","6.22","$503.24M","2010","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/dang",
"EC","Ecopetrol S.A.","9.4","$349.73M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ec",
"EIX","Edison International","63.68","$20.75B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/eix",
"EDR","Education Realty Trust Inc.","33.81","$1.64B","2005","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/edr",
"EW","Edwards Lifesciences Corporation","149.37","$16.06B","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ew",
"EHIC","eHi Car Services Limited","12.29","$840.36M","2014","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/ehic",
"EJ","E-House (China) Holdings Limited","6.4","$912.63M","2007","Finance","Real Estate","http://www.nasdaq.com/symbol/ej",
"EP^C","El Paso Corporation","49.77","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/ep^c",
"EE","El Paso Electric Company","37.27","$1.51B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ee",
"EGO","Eldorado Gold Corporation","3.65","$2.62B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ego",
"LLY","Eli Lilly and Company","86.57","$95.97B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/lly",
"ELLI","Ellie Mae, Inc.","68.93","$2.04B","2011","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/elli",
"EFC","Ellington Financial LLC","18.15","$607.11M","2010","Finance","Real Estate","http://www.nasdaq.com/symbol/efc",
"EARN","Ellington Residential Mortgage REIT","12.59","$115.19M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/earn",
"AKO.A","Embotelladora Andina S.A.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ako.a",
"AKO.B","Embotelladora Andina S.A.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ako.b",
"ERJ","Embraer-Empresa Brasileira de Aeronautica","26.43","$4.86B","2000","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/erj",
"EMC","EMC Corporation","25.31","$48.71B","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/emc",
"EME","EMCOR Group, Inc.","45.24","$2.84B","n/a","Capital Goods","Engineering & Construction","http://www.nasdaq.com/symbol/eme",
"EMES","Emerge Energy Services LP","7.85","$189.34M","2013","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/emes",
"EBS","Emergent Biosolutions, Inc.","29.08","$1.13B","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ebs",
"EMG","Emergent Capital, Inc.","5.06","$142.34M","2011","Finance","Life Insurance","http://www.nasdaq.com/symbol/emg",
"EMR","Emerson Electric Company","46.02","$30.24B","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/emr",
"EDE","Empire District Electric Company (The)","22.13","$967.6M","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ede",
"ESRT","Empire State Realty Trust, Inc.","17.38","$4.67B","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/esrt",
"EIG","Employers Holdings Inc","21.81","$698.72M","2007","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/eig",
"EDN","Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor)","12.74","$571.42M","2007","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/edn",
"EOC","Empresa Nacional de Electricidad S.A.","36.57","$10B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/eoc",
"ICA","Empresas Ica Soc Contrladora","1.92","$295.59M","1992","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/ica",
"ENBL","Enable Midstream Partners, LP","13.53","$5.72B","2014","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/enbl",
"EEQ","Enbridge Energy Management LLC","27.23","$1.95B","2002","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eeq",
"EEP","Enbridge Energy, L.P.","27.84","$11.82B","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/eep",
"ENB","Enbridge Inc","41.39","$35.46B","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/enb",
"ECA","Encana Corporation","7.58","$6.37B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eca",
"EXK","Endeavour Silver Corporation","1.72","$175.4M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/exk",
